disease_id	canonical_name	aliases	source	xref_doid	external_ids	fetch_date
MONDO:0024456	anterior segment dysgenesis 3	ASGD3|FOXC1 iridogoniodysgenesis|IGDA|IGDA syndrome|IRID1|anterior segment dysgenesis 3|anterior segment dysgenesis 3, multiple subtypes|iridogoniodysgenesis anomaly, autosomal dominant|iridogoniodysgenesis caused by mutation in FOXC1|iridogoniodysgenesis type 1|iridogoniodysgenesis, type 1	MONDO	DOID:0080608		2026-06-29
MONDO:0024457	neurodegeneration with brain iron accumulation 2A	INAD|NBIA2A|NBIA2a|PLAN|inaD|infantile neuroaxonal dystrophy|neurodegeneration with brain iron accumulation 2A|neurodegeneration with brain iron accumulation type 2A|neurodegeneration with brain iron accumulation type 2a|neurodegeneration, PLA2G6-associated|neurodegeneration, Pla2G6-associated|neurodegeneration, Pla2g6-associated|phospholipase A2-associated neurodegeneration	MONDO	DOID:0110735		2026-06-29
MONDO:0024458	disorder of visual system	disease of visual system|disease or disorder of visual system|disorder of visual system|visual system disease|visual system disease or disorder|visual system disorder	MONDO			2026-06-29
MONDO:0024459	Aeromonas hydrophila intestinal disease	intestinal infection caused by Aeromonas hydrophila|intestinal infection due to Aeromonas hydrophila	MONDO			2026-06-29
MONDO:0024461	angiomatosis	angiomatosis|diffuse angiomatosis|diffuse hemangioma|multiple hemangiomas	MONDO			2026-06-29
MONDO:0024462	susceptibility to familial cutaneous melanoma	hereditary cutaneous melanoma (disease)|melanoma, cutaneous malignant	MONDO			2026-06-29
MONDO:0024463	ovarian dysgenesis 1	ODG1|ovarian dysgenesis 1	MONDO	DOID:0080493		2026-06-29
MONDO:0024464	pituitary hormone deficiency, combined, 1	CPHD1|POU1F1 combined pituitary hormone deficiencies, genetic form|combined pituitary hormone deficiencies, genetic form caused by mutation in POU1F1|pituitary hormone deficiency, combined or isolated, 1|pituitary hormone deficiency, combined, 1	MONDO	DOID:0061019		2026-06-29
MONDO:0024465	surfactant metabolism dysfunction, pulmonary, 2	SMDP2|desquamative interstitial pneumonitis due to surfactant Protein C deficiency|interstitial lung disease due to surfactant Protein C deficiency|pulmonary alveolar proteinosis, congenital, 2|surfactant metabolism dysfunction, pulmonary, 2	MONDO			2026-06-29
MONDO:0024466	facial paresis, hereditary congenital, 1	HCFP1|facial paresis, hereditary congenital, 1	MONDO			2026-06-29
MONDO:0024467	apocrine sweat gland disorder	apocrine sweat gland disease|apocrine sweat gland disease or disorder|disease of apocrine sweat gland|disease or disorder of apocrine sweat gland|disorder of apocrine sweat gland	MONDO			2026-06-29
MONDO:0024468	anterior pituitary gland disorder	adenohypophysis disease|adenohypophysis disease or disorder|disease of adenohypophysis|disease or disorder of adenohypophysis|disorder of adenohypophysis|disorder of anterior pituitary	MONDO			2026-06-29
MONDO:0024469	chondrogenic neoplasm	cartilaginous neoplasm|cartilaginous tumor|cartilaginous tumour|chondrogenic neoplasm|chondrogenic tumor|chondrogenic tumour|chondromatous neoplasm|chondromatous tumor|chondromatous tumour|neoplasm of cartilage|neoplasm of the cartilage|tumor of cartilage|tumor of the cartilage|tumour of cartilage|tumour of the cartilage	MONDO			2026-06-29
MONDO:0024470	benign chondrogenic neoplasm	benign cartilaginous neoplasm|benign cartilaginous tumor|benign cartilaginous tumour|benign chondrogenic neoplasm|benign chondrogenic tumor|benign chondrogenic tumour|benign neoplasm of cartilage|benign neoplasm of the cartilage|benign tumor of cartilage|benign tumor of the cartilage|benign tumour of cartilage|benign tumour of the cartilage|chondrogenic neoplasm, benign	MONDO			2026-06-29
MONDO:0024472	boutonneuse fever	African tick typhus|Conor and Bruch's disease|Kenya fever|Kenya tick typhus|Kenyan tick typhus|Mediterranean spotted fever|Mediterranean tick fever|boutonneuse disease|boutonneuse fever|fievre boutonneuse|marseilles fever|tick typhus due to rickettsia conorii	MONDO	DOID:14095		2026-06-29
MONDO:0024473	Astrakhan spotted fever		MONDO	DOID:0050041		2026-06-29
MONDO:0024474	intraepithelial neoplasia	epithelial dysplasia|intraepithelial neoplasia|intraepithelial neoplasm	MONDO			2026-06-29
MONDO:0024475	squamous cell intraepithelial neoplasia	squamous cell intraepithelial neoplasia|squamous intraepithelial lesion	MONDO			2026-06-29
MONDO:0024476	epithelial neoplasm of rectum	rectal epithelial neoplasm|rectal epithelial tumor|rectal epithelial tumour|rectum epithelial neoplasm	MONDO			2026-06-29
MONDO:0024477	liver and intrahepatic bile duct neoplasm	epithelial hepatic and intrahepatic bile duct neoplasm|hepatic and intrahepatic bile duct neoplasm|liver and intrahepatic bile duct epithelial neoplasm|liver and intrahepatic bile duct neoplasm|liver neoplasm|liver neoplasm (disease)|liver tumor|liver tumour|neoplasm of liver|tumor of liver|tumour of liver	MONDO	DOID:916		2026-06-29
