rna_id	rbp_symbol	biosample_cell_type	assay	peak_count	score	evalue	sample_id	experiment_id	source_dataset	source_file	evidence_level	source	source_version	fetch_date
ENST00000248070_9606	TARDBP	K562	eCLIP	2	4.679649	-1	ENCFF593RED	ENCSR720BJU	ENCODE	ENCFF593RED.bed.gz	low	ENCODE	ENCODE:rolling	2026-04-12
ENST00000248139_9606	TARDBP	K562	eCLIP	4	5.005687	-1	ENCFF593RED	ENCSR720BJU	ENCODE	ENCFF593RED.bed.gz	medium	ENCODE	ENCODE:rolling	2026-04-12
ENST00000248566_9606	TARDBP	K562	eCLIP	1	4.25565	-1	ENCFF593RED	ENCSR720BJU	ENCODE	ENCFF593RED.bed.gz	low	ENCODE	ENCODE:rolling	2026-04-12
ENST00000248668_9606	TARDBP	K562	eCLIP	6	5.836786	-1	ENCFF593RED	ENCSR720BJU	ENCODE	ENCFF593RED.bed.gz	medium	ENCODE	ENCODE:rolling	2026-04-12
ENST00000248846_9606	TARDBP	K562	eCLIP	10	6.319703	-1	ENCFF593RED	ENCSR720BJU	ENCODE	ENCFF593RED.bed.gz	high	ENCODE	ENCODE:rolling	2026-04-12
ENST00000248958_9606	TARDBP	K562	eCLIP	1	4.982318	-1	ENCFF593RED	ENCSR720BJU	ENCODE	ENCFF593RED.bed.gz	low	ENCODE	ENCODE:rolling	2026-04-12
ENST00000249364_9606	TARDBP	K562	eCLIP	1	5.425151	-1	ENCFF593RED	ENCSR720BJU	ENCODE	ENCFF593RED.bed.gz	low	ENCODE	ENCODE:rolling	2026-04-12
ENST00000249601_9606	TARDBP	K562	eCLIP	3	4.619999	-1	ENCFF593RED	ENCSR720BJU	ENCODE	ENCFF593RED.bed.gz	medium	ENCODE	ENCODE:rolling	2026-04-12
ENST00000249750_9606	TARDBP	K562	eCLIP	1	3.713206	-1	ENCFF593RED	ENCSR720BJU	ENCODE	ENCFF593RED.bed.gz	low	ENCODE	ENCODE:rolling	2026-04-12
ENST00000249806_9606	TARDBP	K562	eCLIP	1	6.041229	-1	ENCFF593RED	ENCSR720BJU	ENCODE	ENCFF593RED.bed.gz	low	ENCODE	ENCODE:rolling	2026-04-12
ENST00000249923_9606	TARDBP	K562	eCLIP	1	4.252207	-1	ENCFF593RED	ENCSR720BJU	ENCODE	ENCFF593RED.bed.gz	low	ENCODE	ENCODE:rolling	2026-04-12
ENST00000250405_9606	TARDBP	K562	eCLIP	1	4.660308	-1	ENCFF593RED	ENCSR720BJU	ENCODE	ENCFF593RED.bed.gz	low	ENCODE	ENCODE:rolling	2026-04-12
ENST00000250894_9606	TARDBP	K562	eCLIP	23	7.416958	-1	ENCFF593RED	ENCSR720BJU	ENCODE	ENCFF593RED.bed.gz	high	ENCODE	ENCODE:rolling	2026-04-12
ENST00000250896_9606	TARDBP	K562	eCLIP	2	4.980981	-1	ENCFF593RED	ENCSR720BJU	ENCODE	ENCFF593RED.bed.gz	low	ENCODE	ENCODE:rolling	2026-04-12
ENST00000251091_9606	TARDBP	K562	eCLIP	3	7.162449	-1	ENCFF593RED	ENCSR720BJU	ENCODE	ENCFF593RED.bed.gz	medium	ENCODE	ENCODE:rolling	2026-04-12
ENST00000251195_9606	TARDBP	K562	eCLIP	1	5.030749	-1	ENCFF593RED	ENCSR720BJU	ENCODE	ENCFF593RED.bed.gz	low	ENCODE	ENCODE:rolling	2026-04-12
ENST00000251472_9606	TARDBP	K562	eCLIP	5	5.318523	-1	ENCFF593RED	ENCSR720BJU	ENCODE	ENCFF593RED.bed.gz	medium	ENCODE	ENCODE:rolling	2026-04-12
ENST00000251473_9606	TARDBP	K562	eCLIP	3	5.152425	-1	ENCFF593RED	ENCSR720BJU	ENCODE	ENCFF593RED.bed.gz	medium	ENCODE	ENCODE:rolling	2026-04-12
ENST00000251507_9606	TARDBP	K562	eCLIP	4	4.792479	-1	ENCFF593RED	ENCSR720BJU	ENCODE	ENCFF593RED.bed.gz	medium	ENCODE	ENCODE:rolling	2026-04-12
ENST00000251527_9606	TARDBP	K562	eCLIP	2	4.989104	-1	ENCFF593RED	ENCSR720BJU	ENCODE	ENCFF593RED.bed.gz	low	ENCODE	ENCODE:rolling	2026-04-12
ENST00000251654_9606	TARDBP	K562	eCLIP	2	6.041229	-1	ENCFF593RED	ENCSR720BJU	ENCODE	ENCFF593RED.bed.gz	low	ENCODE	ENCODE:rolling	2026-04-12
ENST00000251849_9606	TARDBP	K562	eCLIP	2	5.862046	-1	ENCFF593RED	ENCSR720BJU	ENCODE	ENCFF593RED.bed.gz	low	ENCODE	ENCODE:rolling	2026-04-12
ENST00000251879_9606	TARDBP	K562	eCLIP	1	4.566223	-1	ENCFF593RED	ENCSR720BJU	ENCODE	ENCFF593RED.bed.gz	low	ENCODE	ENCODE:rolling	2026-04-12
ENST00000252071_9606	TARDBP	K562	eCLIP	2	5.905189	-1	ENCFF593RED	ENCSR720BJU	ENCODE	ENCFF593RED.bed.gz	low	ENCODE	ENCODE:rolling	2026-04-12
ENST00000252211_9606	TARDBP	K562	eCLIP	1	5.324402	-1	ENCFF593RED	ENCSR720BJU	ENCODE	ENCFF593RED.bed.gz	low	ENCODE	ENCODE:rolling	2026-04-12
ENST00000252322_9606	TARDBP	K562	eCLIP	1	4.568452	-1	ENCFF593RED	ENCSR720BJU	ENCODE	ENCFF593RED.bed.gz	low	ENCODE	ENCODE:rolling	2026-04-12
ENST00000252445_9606	TARDBP	K562	eCLIP	3	9.329071	-1	ENCFF593RED	ENCSR720BJU	ENCODE	ENCFF593RED.bed.gz	medium	ENCODE	ENCODE:rolling	2026-04-12
ENST00000252674_9606	TARDBP	K562	eCLIP	8	6.039782	-1	ENCFF593RED	ENCSR720BJU	ENCODE	ENCFF593RED.bed.gz	medium	ENCODE	ENCODE:rolling	2026-04-12
ENST00000252711_9606	TARDBP	K562	eCLIP	2	5.799786	-1	ENCFF593RED	ENCSR720BJU	ENCODE	ENCFF593RED.bed.gz	low	ENCODE	ENCODE:rolling	2026-04-12
