disease_id	molecule_id	relation_type	source	evidence_class	molecule_backbone_mapped	fetch_date
MONDO:0021201	DB06219	indication	DrugCentral	curated_indication	True	2026-06-29
MONDO:0002009	DB06148	indication	DrugCentral	curated_indication	True	2026-06-29
MONDO:0041806	DB08903	indication	DrugCentral	curated_indication	True	2026-06-29
MONDO:0013600	DB13643	indication	DrugCentral	curated_indication	True	2026-06-29
MONDO:0002050	DB09248	indication	DrugCentral	curated_indication	True	2026-06-29
MONDO:0006624	DB08893	indication	DrugCentral	curated_indication	True	2026-06-29
MONDO:0001410	DB04574	indication	DrugCentral	curated_indication	True	2026-06-29
MONDO:0005233	DB09063	indication	DrugCentral	curated_indication	True	2026-06-29
MONDO:0005044	DB02925	indication	DrugCentral	curated_indication	True	2026-06-29
MONDO:0005133	DB15903	indication	DrugCentral	curated_indication	True	2026-06-29
MONDO:0005044	DB11770	indication	DrugCentral	curated_indication	True	2026-06-29
MONDO:0002050	DB12930	indication	DrugCentral	curated_indication	True	2026-06-29
MONDO:0007186	DB13762	indication	DrugCentral	curated_indication	True	2026-06-29
MONDO:0019610	DB13762	indication	DrugCentral	curated_indication	True	2026-06-29
MONDO:0006896	DB13762	indication	DrugCentral	curated_indication	True	2026-06-29
MONDO:0005148	DB12412	indication	DrugCentral	curated_indication	True	2026-06-29
MONDO:0001676	DB04931	indication	DrugCentral	curated_indication	True	2026-06-29
MONDO:0005279	DB06822	indication	DrugCentral	curated_indication	False	2026-06-29
MONDO:0019623	DB05311	indication	DrugCentral	curated_indication	False	2026-06-29
MONDO:0002050	DB04818	indication	DrugCentral	curated_indication	True	2026-06-29
MONDO:0005148	DB09038	indication	DrugCentral	curated_indication	True	2026-06-29
MONDO:0018364	DB05168	indication	DrugCentral	curated_indication	True	2026-06-29
MONDO:0005469	DB06262	indication	DrugCentral	curated_indication	True	2026-06-29
MONDO:0006500	DB00571	indication	DrugCentral	curated_indication	True	2026-06-29
MONDO:0005314	DB06685	indication	DrugCentral	curated_indication	True	2026-06-29
MONDO:0006536	DB09046	indication	DrugCentral	curated_indication	False	2026-06-29
MONDO:0019193	DB09046	indication	DrugCentral	curated_indication	False	2026-06-29
MONDO:0012104	DB09046	indication	DrugCentral	curated_indication	False	2026-06-29
MONDO:0002974	DB00290	indication	DrugCentral	curated_indication	True	2026-06-29
MONDO:0006604	DB00484	indication	DrugCentral	curated_indication	True	2026-06-29
MONDO:0004989	DB01590	indication	DrugCentral	curated_indication	True	2026-06-29
MONDO:0100135	DB09118	indication	DrugCentral	curated_indication	True	2026-06-29
MONDO:0004247	DB09221	indication	DrugCentral	curated_indication	True	2026-06-29
MONDO:0041806	DB11637	indication	DrugCentral	curated_indication	True	2026-06-29
MONDO:0018874	DB01262	indication	DrugCentral	curated_indication	True	2026-06-29
MONDO:0005148	DB01120	indication	DrugCentral	curated_indication	True	2026-06-29
MONDO:0019137	DB09071	indication	DrugCentral	curated_indication	True	2026-06-29
MONDO:0004652	DB06402	indication	DrugCentral	curated_indication	True	2026-06-29
MONDO:0002009	DB09068	indication	DrugCentral	curated_indication	True	2026-06-29
MONDO:0005618	DB09014	indication	DrugCentral	curated_indication	True	2026-06-29
MONDO:0004247	DB05265	indication	DrugCentral	curated_indication	True	2026-06-29
MONDO:0005044	DB01349	indication	DrugCentral	curated_indication	True	2026-06-29
MONDO:0011786	DB13036	indication	DrugCentral	curated_indication	True	2026-06-29
MONDO:0004425	DB07637	indication	DrugCentral	curated_indication	True	2026-06-29
MONDO:0005351	DB01527	indication	DrugCentral	curated_indication	True	2026-06-29
MONDO:0005447	DB06810	indication	DrugCentral	curated_indication	True	2026-06-29
MONDO:0005338	DB09351	indication	DrugCentral	curated_indication	True	2026-06-29
MONDO:0006875	DB09351	indication	DrugCentral	curated_indication	True	2026-06-29
MONDO:0002154	DB12834	indication	DrugCentral	curated_indication	True	2026-06-29
