rna_id	biosample_tissue	biosample_cell_type	expression_value	expression_unit	assay	sample_id	experiment_id	source_dataset	source_file	evidence_level	source	source_version	fetch_date
ENST00000968806_9606	blood	CD4-positive, alpha-beta T cell	692.666667	counts_mean	total RNA-seq	ENCFF937GQE	ENCSR140GZF	ENCODE	ENCFF937GQE.tsv	high	ENCODE	ENCODE:rolling	2026-04-12
ENST00000968807_9606	blood	CD4-positive, alpha-beta T cell	692.666667	counts_mean	total RNA-seq	ENCFF937GQE	ENCSR140GZF	ENCODE	ENCFF937GQE.tsv	high	ENCODE	ENCODE:rolling	2026-04-12
ENST00000968808_9606	blood	CD4-positive, alpha-beta T cell	692.666667	counts_mean	total RNA-seq	ENCFF937GQE	ENCSR140GZF	ENCODE	ENCFF937GQE.tsv	high	ENCODE	ENCODE:rolling	2026-04-12
ENST00000968809_9606	blood	CD4-positive, alpha-beta T cell	692.666667	counts_mean	total RNA-seq	ENCFF937GQE	ENCSR140GZF	ENCODE	ENCFF937GQE.tsv	high	ENCODE	ENCODE:rolling	2026-04-12
ENST00000968810_9606	blood	CD4-positive, alpha-beta T cell	692.666667	counts_mean	total RNA-seq	ENCFF937GQE	ENCSR140GZF	ENCODE	ENCFF937GQE.tsv	high	ENCODE	ENCODE:rolling	2026-04-12
ENST00000968811_9606	blood	CD4-positive, alpha-beta T cell	692.666667	counts_mean	total RNA-seq	ENCFF937GQE	ENCSR140GZF	ENCODE	ENCFF937GQE.tsv	high	ENCODE	ENCODE:rolling	2026-04-12
ENST00000968812_9606	blood	CD4-positive, alpha-beta T cell	692.666667	counts_mean	total RNA-seq	ENCFF937GQE	ENCSR140GZF	ENCODE	ENCFF937GQE.tsv	high	ENCODE	ENCODE:rolling	2026-04-12
ENST00000968813_9606	blood	CD4-positive, alpha-beta T cell	692.666667	counts_mean	total RNA-seq	ENCFF937GQE	ENCSR140GZF	ENCODE	ENCFF937GQE.tsv	high	ENCODE	ENCODE:rolling	2026-04-12
ENST00000968814_9606	blood	CD4-positive, alpha-beta T cell	692.666667	counts_mean	total RNA-seq	ENCFF937GQE	ENCSR140GZF	ENCODE	ENCFF937GQE.tsv	high	ENCODE	ENCODE:rolling	2026-04-12
ENST00000968815_9606	blood	CD4-positive, alpha-beta T cell	692.666667	counts_mean	total RNA-seq	ENCFF937GQE	ENCSR140GZF	ENCODE	ENCFF937GQE.tsv	high	ENCODE	ENCODE:rolling	2026-04-12
ENST00000968816_9606	blood	CD4-positive, alpha-beta T cell	692.666667	counts_mean	total RNA-seq	ENCFF937GQE	ENCSR140GZF	ENCODE	ENCFF937GQE.tsv	high	ENCODE	ENCODE:rolling	2026-04-12
ENST00000968817_9606	blood	CD4-positive, alpha-beta T cell	692.666667	counts_mean	total RNA-seq	ENCFF937GQE	ENCSR140GZF	ENCODE	ENCFF937GQE.tsv	high	ENCODE	ENCODE:rolling	2026-04-12
ENST00000968818_9606	blood	CD4-positive, alpha-beta T cell	692.666667	counts_mean	total RNA-seq	ENCFF937GQE	ENCSR140GZF	ENCODE	ENCFF937GQE.tsv	high	ENCODE	ENCODE:rolling	2026-04-12
ENST00000968819_9606	blood	CD4-positive, alpha-beta T cell	692.666667	counts_mean	total RNA-seq	ENCFF937GQE	ENCSR140GZF	ENCODE	ENCFF937GQE.tsv	high	ENCODE	ENCODE:rolling	2026-04-12
ENST00000968820_9606	blood	CD4-positive, alpha-beta T cell	692.666667	counts_mean	total RNA-seq	ENCFF937GQE	ENCSR140GZF	ENCODE	ENCFF937GQE.tsv	high	ENCODE	ENCODE:rolling	2026-04-12
ENST00000968821_9606	blood	CD4-positive, alpha-beta T cell	692.666667	counts_mean	total RNA-seq	ENCFF937GQE	ENCSR140GZF	ENCODE	ENCFF937GQE.tsv	high	ENCODE	ENCODE:rolling	2026-04-12
ENST00000968822_9606	blood	CD4-positive, alpha-beta T cell	692.666667	counts_mean	total RNA-seq	ENCFF937GQE	ENCSR140GZF	ENCODE	ENCFF937GQE.tsv	high	ENCODE	ENCODE:rolling	2026-04-12
ENST00000968823_9606	blood	CD4-positive, alpha-beta T cell	692.666667	counts_mean	total RNA-seq	ENCFF937GQE	ENCSR140GZF	ENCODE	ENCFF937GQE.tsv	high	ENCODE	ENCODE:rolling	2026-04-12
ENST00000968824_9606	blood	CD4-positive, alpha-beta T cell	692.666667	counts_mean	total RNA-seq	ENCFF937GQE	ENCSR140GZF	ENCODE	ENCFF937GQE.tsv	high	ENCODE	ENCODE:rolling	2026-04-12
ENST00000338591_9606	blood	CD4-positive, alpha-beta T cell	150	counts_mean	total RNA-seq	ENCFF937GQE	ENCSR140GZF	ENCODE	ENCFF937GQE.tsv	high	ENCODE	ENCODE:rolling	2026-04-12
ENST00000463212_9606	blood	CD4-positive, alpha-beta T cell	150	counts_mean	total RNA-seq	ENCFF937GQE	ENCSR140GZF	ENCODE	ENCFF937GQE.tsv	high	ENCODE	ENCODE:rolling	2026-04-12
ENST00000466300_9606	blood	CD4-positive, alpha-beta T cell	150	counts_mean	total RNA-seq	ENCFF937GQE	ENCSR140GZF	ENCODE	ENCFF937GQE.tsv	high	ENCODE	ENCODE:rolling	2026-04-12
ENST00000481067_9606	blood	CD4-positive, alpha-beta T cell	150	counts_mean	total RNA-seq	ENCFF937GQE	ENCSR140GZF	ENCODE	ENCFF937GQE.tsv	high	ENCODE	ENCODE:rolling	2026-04-12
ENST00000887516_9606	blood	CD4-positive, alpha-beta T cell	150	counts_mean	total RNA-seq	ENCFF937GQE	ENCSR140GZF	ENCODE	ENCFF937GQE.tsv	high	ENCODE	ENCODE:rolling	2026-04-12
ENST00000887517_9606	blood	CD4-positive, alpha-beta T cell	150	counts_mean	total RNA-seq	ENCFF937GQE	ENCSR140GZF	ENCODE	ENCFF937GQE.tsv	high	ENCODE	ENCODE:rolling	2026-04-12
ENST00000935109_9606	blood	CD4-positive, alpha-beta T cell	150	counts_mean	total RNA-seq	ENCFF937GQE	ENCSR140GZF	ENCODE	ENCFF937GQE.tsv	high	ENCODE	ENCODE:rolling	2026-04-12
ENST00000935110_9606	blood	CD4-positive, alpha-beta T cell	150	counts_mean	total RNA-seq	ENCFF937GQE	ENCSR140GZF	ENCODE	ENCFF937GQE.tsv	high	ENCODE	ENCODE:rolling	2026-04-12
ENST00000955597_9606	blood	CD4-positive, alpha-beta T cell	150	counts_mean	total RNA-seq	ENCFF937GQE	ENCSR140GZF	ENCODE	ENCFF937GQE.tsv	high	ENCODE	ENCODE:rolling	2026-04-12
ENST00000955598_9606	blood	CD4-positive, alpha-beta T cell	150	counts_mean	total RNA-seq	ENCFF937GQE	ENCSR140GZF	ENCODE	ENCFF937GQE.tsv	high	ENCODE	ENCODE:rolling	2026-04-12
ENST00000379407_9606	blood	CD4-positive, alpha-beta T cell	38.666667	counts_mean	total RNA-seq	ENCFF937GQE	ENCSR140GZF	ENCODE	ENCFF937GQE.tsv	medium	ENCODE	ENCODE:rolling	2026-04-12
ENST00000379409_9606	blood	CD4-positive, alpha-beta T cell	38.666667	counts_mean	total RNA-seq	ENCFF937GQE	ENCSR140GZF	ENCODE	ENCFF937GQE.tsv	medium	ENCODE	ENCODE:rolling	2026-04-12
ENST00000379410_9606	blood	CD4-positive, alpha-beta T cell	38.666667	counts_mean	total RNA-seq	ENCFF937GQE	ENCSR140GZF	ENCODE	ENCFF937GQE.tsv	medium	ENCODE	ENCODE:rolling	2026-04-12
ENST00000480267_9606	blood	CD4-positive, alpha-beta T cell	38.666667	counts_mean	total RNA-seq	ENCFF937GQE	ENCSR140GZF	ENCODE	ENCFF937GQE.tsv	medium	ENCODE	ENCODE:rolling	2026-04-12
ENST00000491024_9606	blood	CD4-positive, alpha-beta T cell	38.666667	counts_mean	total RNA-seq	ENCFF937GQE	ENCSR140GZF	ENCODE	ENCFF937GQE.tsv	medium	ENCODE	ENCODE:rolling	2026-04-12
ENST00000880608_9606	blood	CD4-positive, alpha-beta T cell	38.666667	counts_mean	total RNA-seq	ENCFF937GQE	ENCSR140GZF	ENCODE	ENCFF937GQE.tsv	medium	ENCODE	ENCODE:rolling	2026-04-12
ENST00000880609_9606	blood	CD4-positive, alpha-beta T cell	38.666667	counts_mean	total RNA-seq	ENCFF937GQE	ENCSR140GZF	ENCODE	ENCFF937GQE.tsv	medium	ENCODE	ENCODE:rolling	2026-04-12
ENST00000880610_9606	blood	CD4-positive, alpha-beta T cell	38.666667	counts_mean	total RNA-seq	ENCFF937GQE	ENCSR140GZF	ENCODE	ENCFF937GQE.tsv	medium	ENCODE	ENCODE:rolling	2026-04-12
ENST00000880611_9606	blood	CD4-positive, alpha-beta T cell	38.666667	counts_mean	total RNA-seq	ENCFF937GQE	ENCSR140GZF	ENCODE	ENCFF937GQE.tsv	medium	ENCODE	ENCODE:rolling	2026-04-12
ENST00000880612_9606	blood	CD4-positive, alpha-beta T cell	38.666667	counts_mean	total RNA-seq	ENCFF937GQE	ENCSR140GZF	ENCODE	ENCFF937GQE.tsv	medium	ENCODE	ENCODE:rolling	2026-04-12
ENST00000959612_9606	blood	CD4-positive, alpha-beta T cell	38.666667	counts_mean	total RNA-seq	ENCFF937GQE	ENCSR140GZF	ENCODE	ENCFF937GQE.tsv	medium	ENCODE	ENCODE:rolling	2026-04-12
ENST00000959613_9606	blood	CD4-positive, alpha-beta T cell	38.666667	counts_mean	total RNA-seq	ENCFF937GQE	ENCSR140GZF	ENCODE	ENCFF937GQE.tsv	medium	ENCODE	ENCODE:rolling	2026-04-12
ENST00000341290_9606	blood	CD4-positive, alpha-beta T cell	4	counts_mean	total RNA-seq	ENCFF937GQE	ENCSR140GZF	ENCODE	ENCFF937GQE.tsv	low	ENCODE	ENCODE:rolling	2026-04-12
ENST00000433179_9606	blood	CD4-positive, alpha-beta T cell	4	counts_mean	total RNA-seq	ENCFF937GQE	ENCSR140GZF	ENCODE	ENCFF937GQE.tsv	low	ENCODE	ENCODE:rolling	2026-04-12
ENST00000479361_9606	blood	CD4-positive, alpha-beta T cell	4	counts_mean	total RNA-seq	ENCFF937GQE	ENCSR140GZF	ENCODE	ENCFF937GQE.tsv	low	ENCODE	ENCODE:rolling	2026-04-12
ENST00000694917_9606	blood	CD4-positive, alpha-beta T cell	4	counts_mean	total RNA-seq	ENCFF937GQE	ENCSR140GZF	ENCODE	ENCFF937GQE.tsv	low	ENCODE	ENCODE:rolling	2026-04-12
ENST00000880867_9606	blood	CD4-positive, alpha-beta T cell	4	counts_mean	total RNA-seq	ENCFF937GQE	ENCSR140GZF	ENCODE	ENCFF937GQE.tsv	low	ENCODE	ENCODE:rolling	2026-04-12
ENST00000880868_9606	blood	CD4-positive, alpha-beta T cell	4	counts_mean	total RNA-seq	ENCFF937GQE	ENCSR140GZF	ENCODE	ENCFF937GQE.tsv	low	ENCODE	ENCODE:rolling	2026-04-12
ENST00000880869_9606	blood	CD4-positive, alpha-beta T cell	4	counts_mean	total RNA-seq	ENCFF937GQE	ENCSR140GZF	ENCODE	ENCFF937GQE.tsv	low	ENCODE	ENCODE:rolling	2026-04-12
ENST00000880870_9606	blood	CD4-positive, alpha-beta T cell	4	counts_mean	total RNA-seq	ENCFF937GQE	ENCSR140GZF	ENCODE	ENCFF937GQE.tsv	low	ENCODE	ENCODE:rolling	2026-04-12
ENST00000959770_9606	blood	CD4-positive, alpha-beta T cell	4	counts_mean	total RNA-seq	ENCFF937GQE	ENCSR140GZF	ENCODE	ENCFF937GQE.tsv	low	ENCODE	ENCODE:rolling	2026-04-12
