context_id	edge_id	protein_id	function_relation	inference_basis	evidence_snippet	source	source_version	fetch_date
rpi_function_e98721f4b66a15414b02	rpi_607d5836af1024f2	Q86V81	translation_regulation	keyword:cap[-\s]?dependent	in a splicing- and cap-dependent manner to a region near the 5' end of t	UniProtKB/Swiss-Prot	protein_master_v6_clean	2026-04-12
rpi_function_eacabc8a31dd82f7c792	rpi_1797a9da69d671c8	Q86V81	translation_regulation	keyword:cap[-\s]?dependent	in a splicing- and cap-dependent manner to a region near the 5' end of t	UniProtKB/Swiss-Prot	protein_master_v6_clean	2026-04-12
rpi_function_ead255ed984473c2c145	rpi_c9a84430c7c23247	Q13686	translation_regulation	keyword:translat	s as a regulator of translation initiation and elongation in respons	UniProtKB/Swiss-Prot	protein_master_v6_clean	2026-04-12
rpi_function_eb3a015b7c1cd65255fc	rpi_27e7fa5ec538061f	Q86V81	translation_regulation	keyword:cap[-\s]?dependent	in a splicing- and cap-dependent manner to a region near the 5' end of t	UniProtKB/Swiss-Prot	protein_master_v6_clean	2026-04-12
rpi_function_ebe5bb50ece43b76174a	rpi_3ad483ddfe1c05d2	Q9UKV3	splicing_regulation	keyword:splic	ry component of the splicing-dependent multiprotein exon junction	UniProtKB/Swiss-Prot	protein_master_v6_clean	2026-04-12
rpi_function_ec471a354cea19c400fa	rpi_e7835fd60eb2f4d4	Q86V81	transcription_regulation	keyword:transcription	REF export factor) (Transcriptional coactivator Aly/REF) (bZIP-enhancing	UniProtKB/Swiss-Prot	protein_master_v6_clean	2026-04-12
rpi_function_ec61e43de854dea32149	rpi_f919390c1e87cd25	Q86V81	translation_regulation	keyword:cap[-\s]?dependent	in a splicing- and cap-dependent manner to a region near the 5' end of t	UniProtKB/Swiss-Prot	protein_master_v6_clean	2026-04-12
rpi_function_ecb7962788d883b54c4e	rpi_d964f13a0832df52	Q86V81	translation_regulation	keyword:cap[-\s]?dependent	in a splicing- and cap-dependent manner to a region near the 5' end of t	UniProtKB/Swiss-Prot	protein_master_v6_clean	2026-04-12
rpi_function_eceebef6280d2f9ff2ce	rpi_6292c5492e23ccc4	Q86V81	transcription_regulation	keyword:transcription	REF export factor) (Transcriptional coactivator Aly/REF) (bZIP-enhancing	UniProtKB/Swiss-Prot	protein_master_v6_clean	2026-04-12
rpi_function_ed3c2d4e4e3d234fd7cd	rpi_52b5964435b19390	Q86V81	splicing_regulation	keyword:splic	lly associates with spliced mRNA and not with unspliced pre-mRNA	UniProtKB/Swiss-Prot	protein_master_v6_clean	2026-04-12
rpi_function_edad4b586772c5cbdef6	rpi_b35195e39d0a922f	Q6P6C2	translation_regulation	keyword:translat	ts mRNA processing, translation and export (PubMed:23177736, PubMed:	UniProtKB/Swiss-Prot	protein_master_v6_clean	2026-04-12
rpi_function_ee0d690b33a20c3c1dd4	rpi_13d0d1640d410b45	Q86V81	splicing_regulation	keyword:splic	lly associates with spliced mRNA and not with unspliced pre-mRNA	UniProtKB/Swiss-Prot	protein_master_v6_clean	2026-04-12
rpi_function_ef7d14cc784033ec03c0	rpi_ea73d4ab6290eab6	Q86V81	transcription_regulation	keyword:transcription	REF export factor) (Transcriptional coactivator Aly/REF) (bZIP-enhancing	UniProtKB/Swiss-Prot	protein_master_v6_clean	2026-04-12
rpi_function_f0633bcf81a4c4bd6c34	rpi_9ac6d17963c4980d	Q86V81	translation_regulation	keyword:cap[-\s]?dependent	in a splicing- and cap-dependent manner to a region near the 5' end of t	UniProtKB/Swiss-Prot	protein_master_v6_clean	2026-04-12
rpi_function_f0b9fde519ae41a2216e	rpi_5dfa4860eb7f644c	Q86V81	transcription_regulation	keyword:transcription	REF export factor) (Transcriptional coactivator Aly/REF) (bZIP-enhancing	UniProtKB/Swiss-Prot	protein_master_v6_clean	2026-04-12
rpi_function_f18cd73764480e621226	rpi_e11e5bd5ec911f3d	Q92667	splicing_regulation	keyword:splic	3723] ; Alternative splicing;Membrane;Mitochondrion;Mitochondrion	UniProtKB/Swiss-Prot	protein_master_v6_clean	2026-04-12
rpi_function_f1b597849e010bb127fc	rpi_51479064fb90b24c	Q86V81	splicing_regulation	keyword:splic	lly associates with spliced mRNA and not with unspliced pre-mRNA	UniProtKB/Swiss-Prot	protein_master_v6_clean	2026-04-12
rpi_function_f1f994eba4faa5d22505	rpi_0b84aaa143a69312	Q86V81	splicing_regulation	keyword:splic	lly associates with spliced mRNA and not with unspliced pre-mRNA	UniProtKB/Swiss-Prot	protein_master_v6_clean	2026-04-12
rpi_function_f238749c2c2710a033b4	rpi_f27f69c9a32b1221	Q86V81	transcription_regulation	keyword:transcription	REF export factor) (Transcriptional coactivator Aly/REF) (bZIP-enhancing	UniProtKB/Swiss-Prot	protein_master_v6_clean	2026-04-12
rpi_function_f2bcba298f6a34363b25	rpi_531a53dd0be9b063	Q9UKV3	transcription_regulation	keyword:transcription	introns in specific transcription subsets; ACIN1 confers RNA-binding to t	UniProtKB/Swiss-Prot	protein_master_v6_clean	2026-04-12
rpi_function_f2c1e5bbd54b0680a570	rpi_83909fddc6820a19	Q86V81	splicing_regulation	keyword:splic	lly associates with spliced mRNA and not with unspliced pre-mRNA	UniProtKB/Swiss-Prot	protein_master_v6_clean	2026-04-12
rpi_function_f32e3717edc706d1735e	rpi_004323ce100a168b	Q9UKV3	splicing_regulation	keyword:splic	ry component of the splicing-dependent multiprotein exon junction	UniProtKB/Swiss-Prot	protein_master_v6_clean	2026-04-12
rpi_function_f33e5cc913c834efe9d6	rpi_e758225e116a8901	Q86V81	translation_regulation	keyword:cap[-\s]?dependent	in a splicing- and cap-dependent manner to a region near the 5' end of t	UniProtKB/Swiss-Prot	protein_master_v6_clean	2026-04-12
rpi_function_f3b1ef086ebd16d3ac34	rpi_722b4f15c80c2879	Q86V81	transcription_regulation	keyword:transcription	REF export factor) (Transcriptional coactivator Aly/REF) (bZIP-enhancing	UniProtKB/Swiss-Prot	protein_master_v6_clean	2026-04-12
rpi_function_f46d76858065dd07810f	rpi_8082108859d5335b	Q86V81	translation_regulation	keyword:cap[-\s]?dependent	in a splicing- and cap-dependent manner to a region near the 5' end of t	UniProtKB/Swiss-Prot	protein_master_v6_clean	2026-04-12
rpi_function_f57fee5a1437bb257e1f	rpi_e846251ac4571d16	Q86V81	splicing_regulation	keyword:splic	lly associates with spliced mRNA and not with unspliced pre-mRNA	UniProtKB/Swiss-Prot	protein_master_v6_clean	2026-04-12
rpi_function_f5b3e5e926953aa8478b	rpi_e5aae65e9ac93ab3	Q86V81	transcription_regulation	keyword:transcription	REF export factor) (Transcriptional coactivator Aly/REF) (bZIP-enhancing	UniProtKB/Swiss-Prot	protein_master_v6_clean	2026-04-12
rpi_function_f5c5126c08efea70ffb2	rpi_4341aa35f25d4ab2	Q86V81	transcription_regulation	keyword:transcription	REF export factor) (Transcriptional coactivator Aly/REF) (bZIP-enhancing	UniProtKB/Swiss-Prot	protein_master_v6_clean	2026-04-12
