hpo_id	term	synonyms	source	hierarchy_reference	fetch_date
HP:5210333	BK virus encephalitis	BK encephalitis|Encephalitis caused by a Human polyomavirus 1 infection	HPO		2026-06-29
HP:5210334	Unusual JC virus infection	Unusual Human Polyomavirus 2 infection|Unusual JC polyomavirus infection	HPO		2026-06-29
HP:5210335	JC nephropathy	JC polyomavirus nephropathy|JC virus nephropathy|Nephropathy caused by a Human polyomavirus 2 infection	HPO		2026-06-29
HP:5210336	JC encephalitis	Encephalitis caused by a Human polyomavirus 2 infection|JC virus encephalitis|Progressive multifocal leukoencephalopathy (PML)	HPO		2026-06-29
HP:5210337	Infectious granulomatosis		HPO		2026-06-29
HP:5210338	Non-infectious granulomatosis		HPO		2026-06-29
HP:5210339	Caseating granulomatosis	Necrotizing granulomatosis	HPO		2026-06-29
HP:5210340	Non-caseating granulomatosis	Non-necrotizing granulomatosis	HPO		2026-06-29
HP:5210341	Granulomatous lymphocytic interstitial lung disease	GLILD|Granulomatous-lymphocytic interstitial lung disease	HPO		2026-06-29
HP:5210342	Granulomatous lymphadenopathy		HPO		2026-06-29
HP:5210343	Granuloma annulare		HPO		2026-06-29
HP:5210344	Granulomatous synovitis		HPO		2026-06-29
HP:5210345	Granulomatous uveitis		HPO		2026-06-29
HP:5210346	Granulomatous gingivitis		HPO		2026-06-29
HP:5210347	Granulomatous iritis		HPO		2026-06-29
HP:5210348	Unusual Burkholderia pseudomallei infection	Unusual melioidosis|Unusual susceptibility to Burkholderia pseudomallei	HPO		2026-06-29
HP:5210349	Unusual coagulase-negative Staphylococcus infection	Unusual CoNS infection|Unusual Staphylococcus epidermidis infection|Unusual coagulase-negative staphylococci infection|Unusual susceptibility to coagulase-negative staphylococci	HPO		2026-06-29
HP:5210350	Recurrent coagulase-negative Staphylococcus infection	Chronic coagulase-negative staphylococcus infection|Persistent coagulase-negative staphylococcus infection|Recurrent CoNS infection|Recurrent Staphylococcus epidermidis infection	HPO		2026-06-29
HP:5210351	Severe coagulase-negative Staphylococcus infection	Disseminated coagulase-negative staphylococcus infection|Invasive coagulase-negative staphylococcus infection|Severe CoNS infection|Severe Staphylococcus epidermidis infection	HPO		2026-06-29
HP:5210352	Unusual Enterococcus faecalis infection	Unusual susceptibility to Enterococcus faecalis	HPO		2026-06-29
HP:5210353	Recurrent Enterococcus faecalis infection	Chronic Enterococcus faecalis infection|Persistent Enterococcus faecalis infection|Recurrent susceptibility to Enterococcus faecalis	HPO		2026-06-29
HP:5210354	Severe Enterococcus faecalis infection	Disseminated Enterococcus faecalis infection|Invasive Enterococcus faecalis infection	HPO		2026-06-29
HP:5210355	Unusual Enterococcus faecium infection	Unusual VRE infection|Unusual susceptibility to Enterococcus faecium|Unusual vancomycin-resistant Enterococcus faecium infection	HPO		2026-06-29
HP:5210356	Recurrent Enterococcus faecium infection	Chronic Enterococcus faecium infection|Persistent Enterococcus faecium infection|Recurrent VRE infection|Recurrent susceptibility to Enterococcus faecium	HPO		2026-06-29
HP:5210357	Severe Enterococcus faecium infection	Disseminated Enterococcus faecium infection|Invasive Enterococcus faecium infection|Severe VRE infection	HPO		2026-06-29
HP:5210358	Unusual Viridans Streptococci infection	Unusual Streptococcus viridans infection|Unusual susceptibility to viridans streptococci|Unusual viridans group streptococci infection|Unusual viridans streptococcal infection	HPO		2026-06-29
HP:5210359	Endocarditis caused by Streptococcus viridans infection	Subacute bacterial endocarditis due to viridans streptococci|Viridans streptococci endocarditis	HPO		2026-06-29
HP:5210360	Liver abscess due to Streptococcus viridans	Hepatic abscess due to Streptococcus viridans|Viridans streptococci liver abscess	HPO		2026-06-29
HP:5210361	Unusual Mycobacterium abscessus infection	Unusual M. abscessus infection|Unusual rapid-grower mycobacterial infection|Unusual susceptibility to Mycobacterium abscessus	HPO		2026-06-29
HP:5210362	Recurrent Mycobacterium abscessus infection	Chronic Mycobacterium abscessus infection|Persistent Mycobacterium abscessus infection|Recurrent M. abscessus infection	HPO		2026-06-29
HP:5210363	Severe Mycobacterium abscessus infection	Disseminated Mycobacterium abscessus infection|Invasive Mycobacterium abscessus infection	HPO		2026-06-29
HP:5210364	Unusual Mycobacterium avium complex infection	Unusual M. avium complex infection|Unusual MAC infection|Unusual susceptibility to Mycobacterium avium complex	HPO		2026-06-29
HP:5210365	Recurrent Mycobacterium avium complex infection	Chronic MAC infection|Persistent Mycobacterium avium complex infection|Recurrent MAC infection	HPO		2026-06-29
HP:5210366	Severe Mycobacterium avium complex infection	Disseminated MAC|Disseminated Mycobacterium avium complex infection|Invasive MAC infection	HPO		2026-06-29
HP:5210367	Unusual Mycoplasma infection	Unusual Mycoplasma pneumoniae infection|Unusual Mycoplasma spp infection|Unusual susceptibility to Mycoplasma	HPO		2026-06-29
HP:5210368	Recurrent Mycoplasma infection	Chronic Mycoplasma infection|Persistent Mycoplasma infection|Recurrent Mycoplasma pneumoniae infection	HPO		2026-06-29
